stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1583.TW,5.56,0.433,18.025974,0.10123,0.01894,0.24145001,0.036849998,12.482015,1.37165,46.313,0.163694800415915,0.03594410139746506,0.35434398480081153,0.033572186836518046,0.019643496025907606,0.5296519823904159,0.9473903491031878,0.1168889180712005,0.240564454138934,0.17684434524517598,0.34239827668093387,0.6563063084687897
1702.TW,5.1,0.405,14.572865,0.12111,0.03837,0.29972,0.08883,11.372549,1.4776318,92.689,0.1875337325986737,0.032954176145596356,0.40443768160795035,0.06776067468742628,0.02183837999872317,0.5274630068793785,0.952108597777939,0.1359530116912311,0.24013972618716012,0.1768702866847695,0.3529261558354061,0.6736930100056013
1707.TW,9.59,0.443,13.080169,0.17962,0.10002,0.79083997,0.18586999,16.16267,2.237944,72.658,0.2576954992995395,0.06213844653883653,0.8266449768745379,0.05299377801368247,0.03758445208011963,0.5265167653939741,0.9609169622757968,0.22805614246017664,0.2506533658197963,0.20256218972316414,0.38058678699121845,0.7218849536339151
1712.TW,2.55,0.298,29.729729,0.13833,0.0506,0.27431,0.07843,17.254902,2.406344,45.183,0.20818294850345767,0.016379590510237244,0.3825931466102715,0.03273914838405284,0.04107201750193866,0.5370711611890525,0.9511645849974583,0.12577345279894656,0.25013280987087166,0.1709560347984654,0.3465577629162883,0.6858011624988287
1717.TW,1.53,0.69,20.324675,0.07281,0.02411,0.20051001,0.06082,20.457516,1.4438602,36.407,0.1296152001828163,0.0097497562560936,0.31914857894465365,0.02626946213729653,0.021138969877585977,0.5311091620497308,0.9495661172028174,0.09250313133987187,0.23808678951304374,0.15696680275171795,0.33859212621406604,0.6366854383267161
1720.TW,4.74,0.139,14.457831,0.15909,0.07001,0.43382,0.21125,15.189874,2.4275937,35.593,0.2330771251691554,0.030614234644133903,0.519721118962879,0.025669379570653458,0.04151209896835214,0.5273900851705832,0.963220717449713,0.15780565722188866,0.2482062502525944,0.1801293014730855,0.35002298941826493,0.7081408101532177
1722.TW,3.8,0.489,22.439863,0.06846,0.022330001,0.28354,0.03743,17.184212,1.150377,15.182,0.12439893484101548,0.024504387390315244,0.3905280170561029,0.010622346072186836,0.015060930327676221,0.5324500101762278,0.9474429961513324,0.1049883770595598,0.23816486605804932,0.16616570087400478,0.3419315503500757,0.6322409769861125
1723.TW,5.96,0.485,17.54386,0.16455999,0.080620006,0.25636998,0.16047001,18.456375,3.046079,33.495,0.2396364169523731,0.03854403639909002,0.36717042347965134,0.024122729417315403,0.05432093475328905,0.5293463633846074,0.9586113944158012,0.13610853052440272,0.2556677467833324,0.18637264970337789,0.3374493280537114,0.7094582171183873
1731.TW,1.3,0.389,23.545454,0.083579995,0.044260003,0.65857005,0.17879999,19.923077,1.6281116,10.258,0.1425299476885331,0.008254793630159248,0.7129348274617012,0.006992362585515451,0.02495481792724006,0.5331508602288104,0.9602752151259892,0.15522496371378325,0.24038370366743297,0.15789405626250258,0.36590715665695966,0.650888860158539
1733.TW,1.08,0.466,17.827225,0.0636,0.03051,0.29955,0.03633,31.527777,1.9823018,16.915,0.11857110735569319,0.006824829379265519,0.40429153556506936,0.011899917433356923,0.03229009995970544,0.5295259925378386,0.9473431486457047,0.09874531629473933,0.24176964536274442,0.1535383751272569,0.33985174707126004,0.6286087626558106
