stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
3380.TW,0.81,0.835,16.19266,0.04165,0.01487,0.18837999,0.01874,43.580246,1.9661356,47.226,0.09224995235511202,0.005069873253168672,0.30872061175014187,0.03424525241802312,0.03195529782121251,0.5284898182507834,0.945746496260257,0.07914413138873794,0.24093126163633527,0.14939699932802603,0.33701988152241247,0.6115317147896735
3443.TW,23.96,1.138,42.436867,0.33438,0.10416,0.29843,0.12397,68.03005,21.08122,189.553,0.4432746313218603,0.15554111147221322,0.4033286910472653,0.1391690257136117,0.42782885713589525,0.5451263989175379,0.9552982717304479,0.2157262099581451,0.4392354475738807,0.2862966907475986,0.3384208099959345,0.8323850297779916
3454.TW,4.12,0.969,23.127037,0.10257,0.03422,0.2762,-0.01161,34.46602,3.450622,96.109,0.16530164996948124,0.026584335391615213,0.38421794673406584,0.07028190610993158,0.06269902369888847,0.5328856196683758,0.9429916128095271,0.12092795057666095,0.2590664796746713,0.171885659956605,0.35090087565054634,0.6547104501579164
3515.TW,9.03,0.877,17.536455,0.14671,0.0559,0.21030001,0.06061,25.30454,3.576012,160.517,0.21823175392053604,0.05849853753656158,0.3275648716493871,0.11776362349610757,0.06529585165756951,0.5293416692484944,0.9495470554062885,0.1436537662563809,0.26322108247431364,0.19684138621315594,0.35531586337043014,0.6910139236164827
3532.TW,7.63,0.835,18.815514,0.12651,0.04921,0.30492002,0.12678,23.525557,2.914576,36.464,0.19400909647125406,0.04939876503087423,0.40890804834854977,0.026311482661004953,0.051597506512995286,0.5301524831637725,0.9555533367220971,0.13385443462244756,0.2563971290983746,0.18871815212640963,0.3420078539951967,0.6796850759446995
3545.TW,1.98,0.829,38.922417,0.04443,0.00315,0.20809,0.00223,45.60606,2.0267541,66.509,0.09558356560803301,0.01267468313292168,0.3256649644951084,0.04846072186836518,0.03321070746802092,0.542898538463447,0.9442478759712438,0.08722623195618064,0.2487316350259217,0.15831206495994055,0.34997901041420443,0.6126964960507717
3563.TW,5.19,1.154,19.22129,0.07585,0.03134,0.571,-0.07542,75.14451,4.751462,27.114,0.13326059021478748,0.03353916152096198,0.6376523787417685,0.019418642368483133,0.08963943108201841,0.530409710412309,0.9371995497785199,0.14376972543994612,0.27054580822581414,0.17232165788384043,0.35468203458253256,0.6316640897297432
3591.TW,0.11,0.935,55.17544,0.02015,0.00834,0.25206,0.04163,285.9091,1.5291487,15.018,0.06646841101057922,0.000519987000324992,0.36346520864496834,0.010501444916253834,0.02290529543268581,0.553201563745107,0.9478242320819111,0.07639215528771447,0.24699370598594841,0.1501824382673758,0.35105225488052494,0.5969416890173527
3592.TW,23.81,1.143,12.541057,0.17717,0.05327,0.29389998,0.09382,17.639648,3.0094366,273.143,0.25475760272772063,0.15456613584660386,0.39943431165213805,0.2007917551309271,0.053562070339913385,0.5261750145353402,0.9525615423716505,0.20871184018997074,0.27056281539001337,0.2610427557943574,0.3799545697153073,0.7151804750563228
3617.TW,18.96,0.885,34.75682,0.28167,0.09224,0.4873,0.15734,15.453588,3.7325792,131.247,0.38006788507672884,0.12304192395190122,0.5656969446880212,0.09618571597074783,0.06853835969148298,0.5402579065512049,0.9583272819693558,0.2428144918525811,0.2785127706443427,0.2577194303870708,0.37503445758184445,0.795404076188668
3673.TW,0.55,0.803,18.447489,0.00557,-0.00025,0.04698,-0.00942,73.454544,0.42314744,166.888,0.048984928554612325,0.003379915502112448,0.18716149997420953,0.12246033852323662,0.0,0.5299191868176538,0.943190400116186,0.06430978871456111,0.22760635339529828,0.1441598541495135,0.352370100628437,0.5835016849778661
3704.TW,2.29,1.167,8.305955,0.08604,0.01847,0.22838,-0.00644,17.663755,1.4812509,67.818,0.14547984167063813,0.014689632759181021,0.3431079245542546,0.04942571950931823,0.021913331590279618,0.5234903224029037,0.9434608960859777,0.1059038511110252,0.23585915462276535,0.15980658576718412,0.3414347578402785,0.6428310927356871
3711.TW,8.03,1.048,11.935704,0.111049995,0.036989998,0.15978,0.05666,21.731009,2.5905583,135.716,0.17547036353664086,0.051998700032499186,0.28413369783875797,0.09948027246992217,0.044887097210279524,0.5257912725531053,0.9491885120906252,0.1218358776158647,0.25202336351523086,0.18730680468345537,0.34759236662472487,0.664582245815447
4148.TW,1.84,0.914,10.0,0.06097,0.02456,0.22358999,0.0454,27.554348,1.4464226,40.169,0.115417365321455,0.011764705882352944,0.3389900362786059,0.029042816702052367,0.02119203720322059,0.5245642019183188,0.9481664367148354,0.09273479703055053,0.23559230055808,0.15507324915171689,0.3369948101752177,0.6271579934793816
4532.TW,1.78,0.914,14.6,0.08732,0.02646,0.14734,0.061729997,16.404495,1.4917749,35.817,0.14701474273673124,0.011374715632109199,0.2734392462302918,0.02583451285680585,0.022131283719134864,0.5274802081465532,0.9496487180487981,0.09039593495884483,0.23718893227746227,0.158886275186444,0.3326674462568754,0.6474033079971983
4551.TW,4.58,0.88,13.50711,0.067490004,0.02547,0.20465,0.032560002,24.890831,1.6424857,59.856,0.12323577242343263,0.029574260643483917,0.3227076563332818,0.043556115829205,0.02525250565960211,0.5267874094407324,0.9470009441943212,0.09959596878063164,0.2408304694579572,0.16781077726117383,0.34001739806323755,0.6312683297032766
4566.TW,3.34,0.824,20.973452,0.09177,0.0155299995,0.22413999,0.05796,28.383236,2.1749604,46.474,0.1523509222243206,0.02151446213844654,0.3394628617114561,0.03369087638594008,0.036280061192342415,0.5315204311307602,0.9493065136881852,0.1053632114367585,0.24643370764926578,0.16694758130015216,0.3406369776589649,0.6504746477401804
4763.TW,80.2,1.191,7.588076,0.79864997,0.46808997,0.64775,0.61644,11.521197,6.3524365,155.554,1.0,0.5210919727006825,0.7036330186894999,0.1141048891247936,0.12279562649421573,0.5230352485691824,0.9999999999999999,0.5560418859519435,0.3512671559511,0.5717355913157546,0.3745619801244188,1.1999999999999997
