stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share
8429.TW,-0.14,0.765,4.97549,-0.0039500003,-0.00409,0.057800002,-1.3145599,nan,0.3031027,1.084
8438.TW,1.42,0.375,nan,0.057579998,0.028110001,0.13126999,0.03872,28.415493,1.6151628,43.006
8442.TW,10.21,0.246,12.578947,0.25099,0.06676,0.20761,0.07639,11.704211,2.5504758,127.6
8443.TW,0.37,0.321,nan,0.03011,0.0036300002,0.60042,0.01652,32.567566,0.955515,17.706
8454.TW,15.2,0.782,24.2713,0.3321,0.10402001,0.09481,0.04157,28.486843,9.32868,461.849
8462.TW,2.4,0.538,14.936708,0.10446999,0.01923,0.25315002,0.07135,49.166664,5.1115446,59.635
8463.TW,1.12,0.69,nan,0.10982,0.03275,0.1266,0.078779995,25.982143,1.8996018,39.027
8464.TW,19.69,0.918,15.496948,0.25988,0.13204001,0.55285,0.24364,18.05485,4.641901,92.695
8466.TW,-0.41,0.502,11.572212,-0.02167,0.00208,0.15890999,0.02262,nan,1.6496403,44.139
8467.TW,8.78,0.659,nan,0.23312001,0.09041,0.40453997,0.20969999,20.615034,4.3161006,41.257
8473.TW,1.09,0.385,11.591512,0.04261,0.02392,0.23084,0.33133,40.091743,1.1627289,23.152
8476.TW,nan,0.063,nan,0.21144,0.11005,0.36932,0.17232999,nan,nan,19.968
8478.TW,22.7,1.31,15.291069,0.33571,0.11525,0.46483,0.2944,16.894272,5.067456,74.553
8481.TW,1.74,0.331,16.279762,0.07669,0.037130002,0.41742,0.12907,31.43678,2.4013348,14.512
8482.TW,3.39,0.419,nan,0.09494001,0.04164,0.34524,0.05526,18.99705,1.9809291,32.335
8488.TW,-1.54,0.275,nan,-0.041950002,-0.0030500002,0.06111,-0.03367,nan,0.46413136,55.824
8499.TW,9.88,0.486,13.121694,0.05447,0.021300001,0.41387,0.18798,12.550607,0.6505259,45.151
8926.TW,1.16,0.505,28.136093,0.06103,0.00051,0.08715,0.036310002,40.99138,2.2016947,8.832
8940.TW,1.99,0.08,nan,0.18792,0.07002,0.53446996,0.22166,13.090452,2.2445285,25.964
8996.TW,6.31,1.09,28.819876,0.25064,0.08926,0.27929002,0.12262,73.53407,16.272139,46.459
9802.TW,6.85,0.558,9.507576,0.10717,0.039419997,0.17982,0.05603,18.321169,1.9263533,76.206
9902.TW,0.58,0.869,nan,0.045560002,0.00427,0.11034001,0.14525,28.965517,1.2811713,4.044
9904.TW,4.84,0.739,7.598344,0.10078,0.022230001,0.25169,0.05989,7.5826445,0.7916478,83.33
9905.TW,1.48,0.307,15.310558,0.05835,0.0275,0.11017,0.04816,16.655405,0.96609837,27.519
9906.TW,4.99,0.759,nan,0.34677,0.03635,0.29580998,-0.404,17.755512,5.0515995,38.315
9907.TW,0.34,0.723,16.43617,0.020769998,0.01629,0.08849,0.02544,45.441174,1.2479806,22.612
9908.TW,2.28,0.223,nan,0.082679994,0.0196,0.2526,0.16479,14.210527,1.1852503,6.925
9910.TW,5.57,0.913,20.610687,0.21834,0.08608,0.21375,0.06505,29.08438,6.296887,87.982
9911.TW,5.5,0.52,17.059961,0.20786,0.09317,0.35224998,0.16605,16.036364,3.4473324,39.968
9912.TW,-0.87,0.67,nan,-0.15373999,-0.04259,0.39546,-0.16447,nan,1.5129024,9.998
9914.TW,7.65,1.133,18.923464,0.07148,0.04464,0.19228001,0.090959996,29.411764,3.089259,82.68
9917.TW,5.88,0.229,19.868034,0.19601999,0.06158,0.32569999,0.16246,23.044218,4.5459123,39.032
9918.TW,2.17,0.123,nan,0.12813,0.033,0.29138002,0.19785,19.907833,2.5007236,11.156
9919.TW,3.36,0.607,nan,0.25886,-0.040170003,0.0572,-0.082650006,7.157738,1.6580489,14.724
9921.TW,7.68,1.135,18.7993,0.08778,0.024549998,0.21681999,0.03381,27.929688,2.4237015,185.932
9924.TW,5.71,0.404,nan,0.169,0.08262,0.23355,0.10446,9.38704,1.5128422,48.856
9925.TW,2.44,0.163,nan,0.083459996,0.02903,0.34539002,0.10426,17.47951,1.4391767,20.167
9926.TW,2.56,0.14,nan,0.11772,0.0374,0.28122,0.22128001,21.640627,2.4103725,12.952
9927.TW,6.8,0.602,nan,0.19916001,0.09679,0.15544,0.113970004,11.691176,2.279374,55.174
9928.TW,0.27,0.522,nan,0.01284,-0.0038400001,0.1454,-0.00957,81.11111,0.6193614,16.522
9929.TW,-1.11,-0.177,nan,-0.16753,-0.016390001,0.048189998,-0.0531,nan,2.0027452,7.106
9930.TW,3.81,0.353,nan,0.15059,0.061550003,0.13793,0.12633,17.322834,2.5940337,49.485
9931.TW,1.63,0.137,nan,0.07554,0.02003,0.17737,0.1175,22.73006,1.6070963,12.79
9933.TW,2.46,0.168,14.101876,0.14086,0.01995,0.051459998,0.03174,21.382113,2.480547,139.922
9934.TW,1.69,0.673,10.471205,0.11446,0.0128999995,0.30686,0.014989999,11.834319,1.3864818,46.019
9935.TW,1.27,0.585,12.663317,0.09932,0.02803,0.21254,0.07842,19.84252,1.8860865,27.432
9937.TW,2.55,0.25,26.445312,0.13976,0.03961,0.11281,0.0343,26.549019,3.6452723,79.388
9938.TW,2.62,1.06,13.149285,0.03921,0.02633,0.31686002,0.17021,24.541986,1.6116097,43.618
9939.TW,9.57,0.213,14.617369,0.18188,0.05619,0.22302,0.13838,17.763845,3.148848,93.193
9940.TW,2.33,0.521,nan,0.13425,0.03911,0.28641,0.16629,13.9055805,1.8053157,17.666
9941.TW,10.14,0.56,12.450904,0.14954,0.01575,0.53641,0.17006999,15.631164,2.344397,76.799
9942.TW,11.42,0.383,9.861857,0.24294001,0.14726,0.41358003,0.24580999,11.252189,2.5551798,55.477
9943.TW,8.74,0.401,18.259108,0.20568001,0.06239,0.53382,0.22044,10.320366,3.1061676,32.013
9944.TW,0.1,0.441,nan,0.00866,0.00408,0.27408,0.21569,225.49998,0.65958816,21.123
9945.TW,5.01,0.619,11.496163,0.16473,0.0184,0.26439,0.18094999,8.972055,1.2357389,9.627
9946.TW,0.38,0.585,nan,0.01908,0.0064700004,0.2849,0.14772001,112.5,2.103528,3.388
9955.TW,-0.79,1.023,nan,-0.06157,-0.01689,0.03283,-0.12328,nan,2.678356,11.146
9958.TW,6.5,0.347,31.637371,0.16426,0.0533,0.233,0.33674,52.615383,6.9369793,63.193
